id,name,aliases,category,price,active,servings_min,servings_max,allergens
alfajor-clasico,Alfajor clasico,alfajor clasico,Dulcecitos,8.00,true,1,1,gluten|huevo|lacteos
alfajor-dubai-de-crema-de-avellanas,Alfajor dubai de crema de avellanas,alfajor dubai de crema de avellanas,Dulcecitos,15.00,true,1,1,gluten|huevo|lacteos|frutos secos
alfajor-dubai-de-frambuesa,Alfajor dubai de frambuesa,alfajor dubai de frambuesa|alfajor dubai de frambuesa san valentin,Dulcecitos,16.90,true,1,1,gluten|huevo|lacteos
alfajor-dubai-de-pistacho,Alfajor dubai de pistacho,alfajor dubai de pistacho,Dulcecitos,15.00,true,1,1,gluten|huevo|lacteos|frutos secos
arroz-con-leche-indiv,Arroz con leche indiv,arroz con leche indiv,Individuales,13.90,true,1,1,huevo|lacteos
blondie,Blondie,blondie,Dulcecitos,9.00,true,1,1,gluten|huevo|lacteos
bombita-arroz-con-leche,Bombita arroz con leche,bombita arroz con leche,Individuales,15.00,true,1,1,huevo|lacteos
bombita-de-alfajor,Bombita de alfajor,bombita de alfajor,Individuales,17.00,true,1,1,gluten|huevo|lacteos
bombita-de-aniversario,Bombita de aniversario,bombita de aniversario,Individuales,22.00,true,1,1,gluten|huevo|lacteos
bombita-de-chirimoya,Bombita de chirimoya,bombita de chirimoya,Individuales,22.00,true,1,1,gluten|huevo|lacteos
bombita-de-chocolucuma,Bombita de chocolucuma,bombita de chocolucuma,Individuales,22.00,true,1,1,gluten|huevo|lacteos
bombita-de-chocopistacho,Bombita de chocopistacho,bombita de chocopistacho,Individuales,22.00,true,1,1,gluten|huevo|lacteos|frutos secos
bombita-de-frutos-rojos,Bombita de frutos rojos,bombita de frutos rojos,Individuales,22.00,true,1,1,gluten|huevo|lacteos
bombita-de-maracumango,Bombita de maracumango,bombita de maracumango,Individuales,22.00,true,1,1,gluten|huevo|lacteos
bombita-de-tres-leches-de-pistacho,Bombita de tres leches de pistacho,bombita de tres leches de pistacho,Individuales,22.00,true,1,1,gluten|huevo|lacteos|frutos secos
bombita-dot-cake-chocolate,Bombita dot cake chocolate,bombita dot cake chocolate,Individuales,22.00,true,1,1,gluten|huevo|lacteos
bombita-dot-cake-vainilla,Bombita dot cake vainilla,bombita dot cake vainilla,Individuales,22.00,true,1,1,gluten|huevo|lacteos
bombita-suspiro-a-la-limena,Bombita suspiro a la limeña,bombita suspiro a la limeña,Individuales,15.00,true,1,1,gluten|huevo|lacteos
bombita-tres-leches-de-lucuma,Bombita tres leches de lucuma,bombita tres leches de lucuma,Individuales,22.00,true,1,1,gluten|huevo|lacteos
bombita-turron-de-dona-pepa,Bombita turron de dona pepa,bombita turron de dona pepa,Individuales,17.00,true,1,1,gluten|huevo|lacteos
bosque-encantado-de-chocolate-grande,Bosque encantado de chocolate grande,bosque encantado de chocolate grande|bosque encantado de chocolate grande dia de la madre,Tortas,109.00,true,12,16,gluten|huevo|lacteos
bosque-encantado-de-chocolate-mediano,Bosque encantado de chocolate mediano,bosque encantado de chocolate mediano|bosque encantado de chocolate mediano dia de la madre,Tortas,89.00,true,8,10,gluten|huevo|lacteos
bosque-encantado-de-manjar-grande,Bosque encantado de manjar grande,bosque encantado de manjar grande|bosque encantado de manjar grande dia de la madre,Tortas,109.00,true,12,16,gluten|huevo|lacteos
bosque-encantado-de-manjar-mediano,Bosque encantado de manjar mediano,bosque encantado de manjar mediano|bosque encantado de manjar mediano dia de la madre,Tortas,89.00,true,8,10,gluten|huevo|lacteos
bosque-magico-de-zanahoria-grande,Bosque magico de zanahoria grande,bosque magico de zanahoria grande|bosque magico de zanahoria grande dia de la madre,Tortas,109.00,true,12,16,gluten|huevo|lacteos
bosque-magico-de-zanahoria-mediano,Bosque magico de zanahoria mediano,bosque magico de zanahoria mediano|bosque magico de zanahoria mediano dia de la madre,Tortas,89.00,true,8,10,gluten|huevo|lacteos
brownie-chocolate-belga,Brownie de chocolate belga,brownie de chocolate belga|brownie|brownies|brownie chocolate,Dulcecitos,8.00,true,1,1,gluten|huevo|lacteos
brownie-dubai-de-crema-de-avellanas,Brownie dubai de crema de avellanas,brownie dubai de crema de avellanas,Dulcecitos,17.00,true,1,1,gluten|huevo|lacteos|frutos secos
brownie-dubai-de-pistacho,Brownie dubai de pistacho,brownie dubai de pistacho,Dulcecitos,17.00,true,1,1,gluten|huevo|lacteos|frutos secos
caja-de-alfajores-dubai-x6,Caja de alfajores dubai x6,caja de alfajores dubai x6,Packs de dulcecitos,85.00,true,6,6,gluten|huevo|lacteos
caja-de-alfajores-x6-unid,Caja de alfajores x6 unid,caja de alfajores x6 unid,Packs de dulcecitos,45.00,true,6,6,gluten|huevo|lacteos
box-brownies-6,Caja de brownies belga x6,caja de brownies belga x6|brownies x6|box brownies,Packs de dulcecitos,45.00,true,6,6,gluten|huevo|lacteos
caja-de-dulcecitos-para-mama-x-24,Caja de dulcecitos para mama x 24,caja de dulcecitos para mama x 24|caja de dulcecitos para mama x 24 dia de la madre,Packs de dulcecitos,69.00,true,24,24,gluten|huevo|lacteos
caja-de-dulcecitos-x24,Caja de dulcecitos x24,caja de dulcecitos x24,Packs de dulcecitos,55.00,true,24,24,gluten|huevo|lacteos
caja-de-dulcecitos-x24-trufas-y-canelitas,Caja de dulcecitos x24 trufas y canelitas,caja de dulcecitos x24 trufas y canelitas,Packs de dulcecitos,55.00,true,24,24,gluten|huevo|lacteos
caja-de-dulcecitos-x26,Caja de dulcecitos x26,caja de dulcecitos x26,Packs de dulcecitos,55.00,true,26,26,gluten|huevo|lacteos
caja-de-galleta-x12-dulce-pascua,Caja de galleta x12 dulce pascua,caja de galleta x12 dulce pascua|caja de galleta x12 dulce pascua pascua,Packs de dulcecitos,49.00,true,12,12,gluten|huevo|lacteos
caja-de-galletas-mixtas-x6-und,Caja de galletas mixtas x6 und,caja de galletas mixtas x6 und,Packs de dulcecitos,45.00,true,6,6,gluten|huevo|lacteos
caja-de-mini-alfajorcito-x20-und,Caja de mini alfajorcito x20 und,caja de mini alfajorcito x20 und,Packs de dulcecitos,45.00,true,20,20,gluten|huevo|lacteos
caja-de-mini-alfajorcitos-x50,Caja de mini alfajorcitos x50,caja de mini alfajorcitos x50,Packs de dulcecitos,78.00,true,50,50,gluten|huevo|lacteos
caja-de-mini-brownies-y-blondies-x12-und,Caja de mini brownies y blondies x12 und,caja de mini brownies y blondies x12 und,Packs de dulcecitos,35.00,true,12,12,gluten|huevo|lacteos
caja-de-mini-galletas-x9-und,Caja de mini galletas x9 und,caja de mini galletas x9 und,Packs de dulcecitos,35.00,true,9,9,gluten|huevo|lacteos
caja-de-trufas-y-canelitas-x12-und,Caja de trufas y canelitas x12 und,caja de trufas y canelitas x12 und,Packs de dulcecitos,39.00,true,12,12,gluten|huevo|lacteos
caja-mixta-50-bocaditos,Caja mixta 50 bocaditos,caja mixta 50 bocaditos,Packs de dulcecitos,89.00,true,,,gluten|huevo|lacteos
caja-mixta-brownies-blondies-x6,Caja mixta brownies & blondies x6,caja mixta brownies & blondies x6,Packs de dulcecitos,45.00,true,6,6,gluten|huevo|lacteos
canelita,Canelita,canelita,Dulcecitos,3.00,true,1,1,gluten|huevo|lacteos
cheesecake-canela-indv,Cheesecake canela individual,cheesecake canela indv|cheesecake canela individual,Individuales,17.00,true,1,1,gluten|huevo|lacteos
cheesecake-new-york-frutos-rojos-grande,Cheesecake new york frutos rojos grande,cheesecake new york frutos rojos grande,Tortas,129.00,true,12,16,gluten|huevo|lacteos
cheesecake-ny-de-frutos-rojos-grande,Cheesecake ny de frutos rojos grande,cheesecake ny de frutos rojos grande|cheesecake ny de frutos rojos grande dia de la madre,Tortas,129.00,true,12,16,gluten|huevo|lacteos
cheesecake-oreo,Cheesecake oreo individual,cheesecake oreo indv|cheesecake oreo individual|cheesecake oreo|cheesecake de oreo,Individuales,17.00,true,1,1,gluten|huevo|lacteos
cheesecake-toblerone-grande,Cheesecake toblerone grande,cheesecake toblerone grande,Tortas,129.00,true,12,16,gluten|huevo|lacteos
cookieturron-bola-de-helado,Cookieturron bola de helado,cookieturron bola de helado|cookieturron bola de helado cookieturron,Individuales,19.00,true,1,1,gluten|huevo|lacteos
cookieturron-entero,Cookieturron entero,cookieturron entero|cookieturron entero cookieturron,Tortas,145.00,true,12,16,gluten|huevo|lacteos
corazon-de-frambuesa-mini,Corazon de frambuesa mini,corazon de frambuesa mini|corazon de frambuesa mini dia de la madre,Mini tortas,59.00,true,4,6,gluten|huevo|lacteos
corazon-de-frambuesa-para-mama-mediano,Corazon de frambuesa para mama mediano,corazon de frambuesa para mama mediano|corazon de frambuesa para mama mediano dia de la madre,Tortas,129.00,true,8,10,gluten|huevo|lacteos
crema-volteada-especial-grande,Crema volteada especial grande,crema volteada especial grande|crema volteada especial grande dia de la madre,Tortas,99.00,true,12,16,huevo|lacteos
crema-volteada-grande,Crema volteada grande,crema volteada grande,Tortas,90.00,true,12,16,huevo|lacteos
crema-volteada-indiv,Crema volteada indiv,crema volteada indiv,Individuales,15.00,true,1,1,huevo|lacteos
crocante-de-chirimoya-grande,Crocante de chirimoya grande,crocante de chirimoya grande,Tortas,129.00,true,12,16,gluten|huevo|lacteos
crocante-de-chirimoya-indiv,Crocante de chirimoya indiv,crocante de chirimoya indiv,Individuales,15.90,true,1,1,gluten|huevo|lacteos
crocante-de-chirimoya-mediano,Crocante de chirimoya mediano,crocante de chirimoya mediano,Tortas,69.00,true,8,10,gluten|huevo|lacteos
crocante-de-frutos-rojos-grande,Crocante de frutos rojos grande,crocante de frutos rojos grande,Tortas,129.00,true,12,16,gluten|huevo|lacteos
crocante-de-frutos-rojos-indiv,Crocante de frutos rojos indiv,crocante de frutos rojos indiv,Individuales,15.90,true,1,1,gluten|huevo|lacteos
