producto_id,catalogo,categoria,nombre,presentacion,porciones_o_unidades,medidas,precio_pen,descripcion,anticipacion,activo_chatbot
B2C-001,Postres enteros,Tortas,Turron de chocolate,Chico,6 porciones,19 x 15 cm,55,"Turron de chocolate con pecanas, cubierto con fudge casero de Patty.",48 horas,Si
B2C-002,Postres enteros,Tortas,Turron de chocolate,Grande,12 porciones,19 x 30 cm,75,"Turron de chocolate con pecanas, cubierto con fudge casero de Patty.",48 horas,Si
B2C-003,Postres enteros,Tortas,Torta de chocolate clásica,Unico,6 porciones,26 cm de diametro,95,Bizcocho de chocolate banado con fudge de Patty y virutas de chocolate.,48 horas,Si
B2C-004,Postres enteros,Tortas,Torta de chocolate con manjar,Unico,6 porciones,26 cm de diametro,95,"Bizcocho de chocolate relleno de manjar, banado con fudge y virutas de chocolate.",48 horas,Si
B2C-005,Postres enteros,Tortas,Torta de zanahoria clásica,Unico,6 porciones,26 cm de diametro,95,"Bizcocho de zanahoria con frosting de queso crema y canela, y pecanas picadas.",48 horas,Si
B2C-006,Postres enteros,Tortas,Torta de chocolate,Mediana,8 porciones,20 cm de diametro,82,"Bizcocho de chocolate con fudge, virutas, trufas y frutos rojos.",48 horas,Si
B2C-007,Postres enteros,Tortas,Torta de chocolate,Grande,12 porciones,26 cm de diametro,105,"Bizcocho de chocolate con fudge, virutas, trufas y frutos rojos.",48 horas,Si
B2C-008,Postres enteros,Tortas,Torta de zanahoria,Mediana,8 porciones,20 cm de diametro,82,"Bizcocho de zanahoria con frosting de canela, pecanas, canelitas y berries.",48 horas,Si
B2C-009,Postres enteros,Tortas,Torta de zanahoria,Grande,12 porciones,26 cm de diametro,105,"Bizcocho de zanahoria con frosting de canela, pecanas, canelitas y berries.",48 horas,Si
B2C-010,Postres enteros,Tortas,Torta de pera,Mediana,8 porciones,20 cm de diametro,90,"Bizcocho de pera con frosting, crumble, butterscotch y berries.",48 horas,Si
B2C-011,Postres enteros,Tortas,Torta de pera,Grande,12 porciones,26 cm de diametro,115,"Bizcocho de pera con frosting, crumble, butterscotch y berries.",48 horas,Si
B2C-012,Postres enteros,Tortas,Torta de chocolucuma,Mediana,8 porciones,20 cm de diametro,82,"Bizcocho de chocolate relleno de mousse de lucuma, con trufas y berries.",48 horas,Si
B2C-013,Postres enteros,Tortas,Torta de chocolucuma,Grande,12 porciones,26 cm de diametro,105,"Bizcocho de chocolate relleno de mousse de lucuma, con trufas y berries.",48 horas,Si
B2C-014,Postres enteros,Tortas,Torta red velvet,Mediana,8 porciones,20 cm de diametro,82,"Bizcocho relleno de manjar y cubierto de frosting, con trufas y berries.",48 horas,Si
B2C-015,Postres enteros,Tortas,Torta red velvet,Grande,12 porciones,26 cm de diametro,105,"Bizcocho relleno de manjar y cubierto de frosting, con trufas y berries.",48 horas,Si
B2C-016,Postres enteros,Tortas,Torta de chocopistacho,Mediana,8 porciones,20 cm de diametro,120,"Bizcocho de chocolate con crema y manjar de pistacho, decorado con trufas de pistacho.",48 horas,Si
B2C-017,Postres enteros,Tortas,Torta de chocopistacho,Grande,12 porciones,26 cm de diametro,149,"Bizcocho de chocolate con crema y manjar de pistacho, decorado con trufas de pistacho.",48 horas,Si
B2C-018,Postres enteros,Tortas,Mini torta de chocolate,Unico,4 porciones,10 cm de diametro,52,"Bizcocho de chocolate con fudge, virutas, trufas y frutos rojos.",48 horas,Si
B2C-019,Postres enteros,Tortas,Mini torta de zanahoria,Unico,4 porciones,10 cm de diametro,52,"Bizcocho de zanahoria con frosting de canela, pecanas, canelitas y aguaymantos.",48 horas,Si
B2C-020,Postres enteros,Tortas,Mini torta de chocolucuma,Unico,4 porciones,10 cm de diametro,52,Bizcocho de chocolate relleno de mousse de lucuma y decorado con trufas.,48 horas,Si
B2C-021,Postres enteros,Cheesecakes y pies,Cheesecake de Toblerone,Unico,10 porciones,22 cm de diametro,129,Cheesecake horneado de chocolate con crema de avellanas y praline.,48 horas,Si
B2C-022,Postres enteros,Cheesecakes y pies,Pie de limon,Unico,10 porciones,22 cm de diametro,95,"Pie de limon cremoso con merengue, limones confitados y moras.",48 horas,Si
B2C-023,Postres enteros,Cheesecakes y pies,Pie de manzana,Unico,8 porciones,20 cm de diametro,90,Pie relleno con compota de manzana.,48 horas,Si
B2C-024,Postres enteros,Cheesecakes y pies,Crocante de manzana,Unico,8 porciones,20 cm de diametro,95,Crocante de manzana con crumble y pecanas.,48 horas,Si
B2C-025,Postres enteros,Cheesecakes y pies,Cheesecake de frutos rojos,Unico,10 porciones,22 cm de diametro,129,"Cheesecake horneado de vainilla con base de galleta, frutos y coulis de frutos rojos.",48 horas,Si
B2C-026,Postres enteros,Cheesecakes y pies,Pie de pecanas,Unico,8 porciones,20 cm de diametro,95,Pie clasico de pecanas con miel de maple.,48 horas,Si
B2C-027,Postres enteros,Postres de leche,Tres leches de pistacho,Unico,8 porciones,22 cm de diametro,129,Con mousse de pistacho y frambuesas.,48 horas,Si
B2C-028,Postres enteros,Postres de leche,Tres leches de fresa,Unico,8 porciones,22 cm de diametro,95,"Relleno de fresas, crema de vainilla y manjar.",48 horas,Si
B2C-029,Postres enteros,Postres de leche,Souffle de mango,Unico,8 porciones,22 cm de diametro,99,"Relleno de manjar, crema chantilly y mango.",48 horas,Si
B2C-030,Postres enteros,Postres de leche,Souffle de fresa,Unico,8 porciones,22 cm de diametro,99,"Relleno de manjar, crema chantilly y fresas.",48 horas,Si
B2C-031,Postres enteros,Postres de leche,Tres leches de lucuma,Unico,8 porciones,22 cm de diametro,99,Relleno con mousse de lucuma y frutos rojos.,48 horas,Si
B2C-032,Postres enteros,Postres de leche,Crema volteada,Unico,8 porciones,22 cm de diametro,99,Crema volteada clasica con caramelo.,48 horas,Si
B2C-033,Postres enteros,Piononos,Pionono clásico,Unico,10 porciones,30 x 10 cm,89,Bizcocho de vainilla relleno de manjarblanco.,48 horas,Si
