Categoría del producto,Nombre,Campaña,Precio de venta
DULCECITOS,ALFAJOR CLASICO,,8
DULCECITOS,ALFAJOR DUBAI DE CREMA DE AVELLANAS,,15
DULCECITOS,ALFAJOR DUBAI DE FRAMBUESA,SAN VALENTIN,16.9
DULCECITOS,ALFAJOR DUBAI DE PISTACHO,,15
INDIVIDUALES,ARROZ CON LECHE INDIV,,13.9
DULCECITOS,BLONDIE,,9
INDIVIDUALES,BOMBITA ARROZ CON LECHE,,15
INDIVIDUALES,BOMBITA DE ALFAJOR,,17
INDIVIDUALES,BOMBITA DE ANIVERSARIO,,22
INDIVIDUALES,BOMBITA DE CHIRIMOYA,,22
INDIVIDUALES,BOMBITA DE CHOCOLUCUMA,,22
INDIVIDUALES,BOMBITA DE CHOCOPISTACHO,,22
INDIVIDUALES,BOMBITA DE FRUTOS ROJOS,,22
INDIVIDUALES,BOMBITA DE MARACUMANGO,,22
INDIVIDUALES,BOMBITA DE TRES LECHES DE PISTACHO,,22
INDIVIDUALES,BOMBITA DOT CAKE CHOCOLATE,,22
INDIVIDUALES,BOMBITA DOT CAKE VAINILLA,,22
INDIVIDUALES,BOMBITA SUSPIRO A LA LIMEÑA,,15
INDIVIDUALES,BOMBITA TRES LECHES DE LUCUMA,,22
INDIVIDUALES,BOMBITA TURRON DE DONA PEPA,,17
POSTRES ENTEROS,BOSQUE ENCANTADO DE CHOCOLATE GRANDE,DIA DE LA MADRE,109
POSTRES ENTEROS,BOSQUE ENCANTADO DE CHOCOLATE MEDIANO,DIA DE LA MADRE,89
POSTRES ENTEROS,BOSQUE ENCANTADO DE MANJAR GRANDE,DIA DE LA MADRE,109
POSTRES ENTEROS,BOSQUE ENCANTADO DE MANJAR MEDIANO,DIA DE LA MADRE,89
POSTRES ENTEROS,BOSQUE MAGICO DE ZANAHORIA GRANDE,DIA DE LA MADRE,109
POSTRES ENTEROS,BOSQUE MAGICO DE ZANAHORIA MEDIANO,DIA DE LA MADRE,89
DULCECITOS,BROWNIE DE CHOCOLATE BELGA,,8
DULCECITOS,BROWNIE DUBAI DE CREMA DE AVELLANAS,,17
DULCECITOS,BROWNIE DUBAI DE PISTACHO,,17
PACK DULCECITOS,CAJA DE ALFAJORES DUBAI X6,,85
PACK DULCECITOS,CAJA DE ALFAJORES X6 UNID,,45
PACK DULCECITOS,CAJA DE BROWNIES BELGA X6,,45
PACK DULCECITOS,CAJA DE DULCECITOS PARA MAMA X 24,DIA DE LA MADRE,69
PACK DULCECITOS,CAJA DE DULCECITOS X24,,55
PACK DULCECITOS,CAJA DE DULCECITOS X24 TRUFAS Y CANELITAS,,55
PACK DULCECITOS,CAJA DE DULCECITOS X26,,55
PACK DULCECITOS,CAJA DE GALLETA X12 DULCE PASCUA,PASCUA,49
PACK DULCECITOS,CAJA DE GALLETAS MIXTAS X6 UND,,45
